Date,Ticker,Position_Type,Shares,Weight
15/7/24,AVGO,Long,583.3625077,0.2
15/7/24,AXON,Long,324.0020582,0.2
15/7/24,PCAR,Long,956.4801251,0.2
15/7/24,TXN,Long,495.6383957,0.2
15/7/24,VRTX,Long,203.728224,0.2
15/7/24,BKNG,Short,24.46183953,0.2
15/7/24,ADBE,Short,176.7690091,0.2
15/7/24,DXCM,Short,884.8774277,0.2
15/7/24,REGN,Short,92.41204809,0.2
15/7/24,ASML,Short,94.01765608,0.2
16/7/24,XEL,Long,1870.654166,0.2
16/7/24,TXN,Long,488.2604884,0.2
16/7/24,SBUX,Long,1336.039953,0.2
16/7/24,AZN,Long,1283.679659,0.2
16/7/24,CDNS,Long,323.6274217,0.2
16/7/24,BKNG,Short,24.49191048,0.2
16/7/24,AAPL,Short,429.6242934,0.2
16/7/24,ADBE,Short,178.0710694,0.2
16/7/24,ASML,Short,94.44423301,0.2
16/7/24,DXCM,Short,869.2433384,0.2
17/7/24,CDNS,Long,350.7250569,0.2
17/7/24,FTNT,Long,1709.539852,0.2
17/7/24,CSCO,Long,2082.664895,0.2
17/7/24,TXN,Long,494.7170488,0.2
17/7/24,XEL,Long,1826.661284,0.2
17/7/24,BKNG,Short,25.32832646,0.2
17/7/24,AAPL,Short,441.5016581,0.2
17/7/24,ADBE,Short,179.4578075,0.2
17/7/24,DXCM,Short,881.6935794,0.2
17/7/24,WBD,Short,12145.54151,0.2
18/7/24,FTNT,Long,1735.259206,0.2
18/7/24,DDOG,Long,848.9363723,0.2
18/7/24,ROST,Long,698.0665709,0.2
18/7/24,AZN,Long,1292.219096,0.2
18/7/24,XEL,Long,1808.365394,0.2
18/7/24,BKNG,Short,25.66316708,0.2
18/7/24,AAPL,Short,449.9537104,0.2
18/7/24,ADBE,Short,181.1450551,0.2
18/7/24,ASML,Short,109.1496151,0.2
18/7/24,ON,Short,1337.274547,0.2
19/7/24,FTNT,Long,1720.616002,0.2
19/7/24,DDOG,Long,845.3467533,0.2
19/7/24,CDNS,Long,359.4271071,0.2
19/7/24,XEL,Long,1798.741964,0.2
19/7/24,AZN,Long,1278.384248,0.2
19/7/24,BKNG,Short,25.36306585,0.2
19/7/24,AAPL,Short,448.5828724,0.2
19/7/24,ADBE,Short,182.6163757,0.2
19/7/24,ON,Short,1387.310419,0.2
19/7/24,BIIB,Short,444.4418097,0.2
22/7/24,FTNT,Long,1731.215503,0.2
22/7/24,CPRT,Long,1926.319242,0.2
22/7/24,DDOG,Long,834.7594987,0.2
22/7/24,WDAY,Long,441.8950392,0.2
22/7/24,XEL,Long,1815.384722,0.2
22/7/24,BKNG,Short,25.88365222,0.2
22/7/24,AAPL,Short,451.8197197,0.2
22/7/24,WBD,Short,11835.03453,0.2
22/7/24,DXCM,Short,906.3103096,0.2
22/7/24,ASML,Short,107.504352,0.2
23/7/24,CSGP,Long,1352.7969,0.2
23/7/24,DDOG,Long,821.7134628,0.2
23/7/24,FTNT,Long,1747.382075,0.2
23/7/24,CSCO,Long,2183.850597,0.2
23/7/24,TEAM,Long,578.1368081,0.2
23/7/24,BKNG,Short,25.83264857,0.2
23/7/24,ON,Short,1379.524674,0.2
23/7/24,ADBE,Short,185.4239175,0.2
23/7/24,ASML,Short,108.5358382,0.2
23/7/24,AAPL,Short,449.9503021,0.2
24/7/24,CSGP,Long,1332.002935,0.2
24/7/24,FTNT,Long,1795.523008,0.2
24/7/24,DDOG,Long,866.846423,0.2
24/7/24,XEL,Long,1804.44324,0.2
24/7/24,CSX,Long,3063.205414,0.2
24/7/24,BKNG,Short,26.72209673,0.2
24/7/24,GOOG,Short,583.2334973,0.2
24/7/24,ON,Short,1450.555145,0.2
24/7/24,ADBE,Short,191.5080338,0.2
24/7/24,PAYX,Short,825.2062954,0.2
25/7/24,FTNT,Long,1793.307367,0.2
25/7/24,ROST,Long,728.3285894,0.2
25/7/24,BKR,Long,2888.545318,0.2
25/7/24,DDOG,Long,854.2469436,0.2
25/7/24,CSCO,Long,2175.580949,0.2
25/7/24,BKNG,Short,28.08137179,0.2
25/7/24,DXCM,Short,952.938796,0.2
25/7/24,ADBE,Short,193.1305891,0.2
25/7/24,PAYX,Short,828.9598718,0.2
25/7/24,ON,Short,1521.682652,0.2
26/7/24,FTNT,Long,1830.685286,0.2
26/7/24,ROST,Long,740.5369284,0.2
26/7/24,CPRT,Long,2044.056079,0.2
26/7/24,DDOG,Long,881.9969863,0.2
26/7/24,BKR,Long,2771.5553,0.2
26/7/24,BKNG,Short,28.19490503,0.2
26/7/24,PCAR,Short,1051.481898,0.2
26/7/24,DXCM,Short,1630.454083,0.2
26/7/24,WBD,Short,12557.04645,0.2
26/7/24,CTAS,Short,548.2029408,0.2
29/7/24,FTNT,Long,1885.079643,0.2
29/7/24,SBUX,Long,1438.626648,0.2
29/7/24,AVGO,Long,720.1752008,0.2
29/7/24,CRWD,Long,418.0082708,0.2
29/7/24,QCOM,Long,605.6018804,0.2
29/7/24,ZS,Short,597.210727,0.2
29/7/24,AMGN,Short,325.3577828,0.2
29/7/24,BKNG,Short,28.80984757,0.2
29/7/24,PEP,Short,624.5870062,0.2
29/7/24,COST,Short,132.650841,0.2
30/7/24,ROST,Long,757.2378801,0.2
30/7/24,FTNT,Long,1879.925346,0.2
30/7/24,CRWD,Long,462.6394617,0.2
30/7/24,CPRT,Long,2090.017495,0.2
30/7/24,DXCM,Long,1550.871049,0.2
30/7/24,BKNG,Short,29.05025482,0.2
30/7/24,CDW,Short,464.9877697,0.2
30/7/24,VRSK,Short,377.9702475,0.2
30/7/24,GOOG,Short,628.9753695,0.2
30/7/24,FAST,Short,1524.837189,0.2
31/7/24,AZN,Long,1356.497431,0.2
31/7/24,FTNT,Long,1849.875466,0.2
31/7/24,ABNB,Long,769.3234138,0.2
31/7/24,WDAY,Long,472.7314902,0.2
31/7/24,ADI,Long,464.0278826,0.2
31/7/24,FAST,Short,1517.551572,0.2
31/7/24,CTSH,Short,1418.694151,0.2
31/7/24,CDW,Short,492.2597471,0.2
31/7/24,BKNG,Short,28.90080335,0.2
31/7/24,VRSK,Short,410.1882474,0.2
1/8/24,AZN,Long,1349.150027,0.2
1/8/24,BIIB,Long,519.9382043,0.2
1/8/24,FTNT,Long,1915.226864,0.2
1/8/24,VRTX,Long,216.5980828,0.2
1/8/24,CRWD,Long,488.5870014,0.2
1/8/24,VRSK,Short,419.1413709,0.2
1/8/24,ADBE,Short,200.492274,0.2
1/8/24,ADP,Short,419.253667,0.2
1/8/24,FAST,Short,1625.144223,0.2
1/8/24,CTSH,Short,1435.604528,0.2
2/8/24,WDAY,Long,511.4314215,0.2
2/8/24,BIIB,Long,534.3098005,0.2
2/8/24,CDNS,Long,440.1961038,0.2
2/8/24,SBUX,Long,1448.157084,0.2
