Date,Ticker,Position_Type,Shares,Weight,Allocation
2024-07-15,AVGO,Long,583.3625076897027,0.2,99900.0
2024-07-15,AXON,Long,324.0020582357307,0.2,99900.0
2024-07-15,PCAR,Long,956.4801251176865,0.2,99900.0
2024-07-15,TXN,Long,495.638395730685,0.2,99900.0
2024-07-15,VRTX,Long,203.72822401251202,0.2,99900.0
2024-07-15,BKNG,Short,24.461839530332682,0.2,99900.0
2024-07-15,ADBE,Short,176.76900906103015,0.2,99900.0
2024-07-15,DXCM,Short,884.8774277470869,0.2,99900.0
2024-07-15,REGN,Short,92.41204808540013,0.2,99900.0
2024-07-15,ASML,Short,94.0176560842865,0.2,99900.0
2024-07-16,XEL,Long,1870.6541657066941,0.2,100783.49534771296
2024-07-16,TXN,Long,488.26048839185256,0.2,100882.85530426208
2024-07-16,SBUX,Long,1336.0399532956046,0.2,100783.49534771296
2024-07-16,AZN,Long,1283.679659351263,0.2,100783.49534771296
2024-07-16,CDNS,Long,323.62742171739455,0.2,100783.49534771296
2024-07-16,BKNG,Short,24.491910483699414,0.2,100884.2558624818
2024-07-16,AAPL,Short,429.62429341954686,0.2,100783.49534771296
2024-07-16,ADBE,Short,178.07106936868493,0.2,100883.64205822232
2024-07-16,ASML,Short,94.44423301218153,0.2,100883.92406225679
2024-07-16,DXCM,Short,869.2433383561632,0.2,100882.56523506387
2024-07-17,CDNS,Long,350.72505685847545,0.2,101043.0942990349
2024-07-17,FTNT,Long,1709.5398515668933,0.2,100949.8507678699
2024-07-17,CSCO,Long,2082.664895221992,0.2,100949.8507678699
2024-07-17,TXN,Long,494.7170487961487,0.2,101049.58285254672
2024-07-17,XEL,Long,1826.6612839297227,0.2,101048.46798333296
2024-07-17,BKNG,Short,25.328326463128473,0.2,101047.56467098111
2024-07-17,AAPL,Short,441.50165813426185,0.2,101048.18317824554
2024-07-17,ADBE,Short,179.45780754429285,0.2,101050.1208111029
2024-07-17,DXCM,Short,881.6935793682576,0.2,101049.47474740945
2024-07-17,WBD,Short,12145.541511546218,0.2,100949.8507678699
2024-07-18,FTNT,Long,1735.2592059427109,0.2,100869.12442880917
2024-07-18,DDOG,Long,848.9363722772388,0.2,100769.7488754116
2024-07-18,ROST,Long,698.066570899007,0.2,100769.7488754116
2024-07-18,AZN,Long,1292.2190962046914,0.2,100769.7488754116
2024-07-18,XEL,Long,1808.3653944493321,0.2,100869.59895021362
2024-07-18,BKNG,Short,25.663167078280274,0.2,100869.3033837586
2024-07-18,AAPL,Short,449.95371036874843,0.2,100868.72471389848
2024-07-18,ADBE,Short,181.14505507298756,0.2,100869.67995116135
2024-07-18,ASML,Short,109.1496151383661,0.2,100769.7488754116
2024-07-18,ON,Short,1337.2745470874013,0.2,100769.7488754116
2024-07-19,FTNT,Long,1720.6160019938964,0.2,100620.76667440728
2024-07-19,DDOG,Long,845.3467532629154,0.2,100621.19573662062
2024-07-19,CDNS,Long,359.42710705993807,0.2,100521.00138595855
2024-07-19,XEL,Long,1798.7419642324573,0.2,100621.0846742944
2024-07-19,AZN,Long,1278.3842482449904,0.2,100620.53406809727
2024-07-19,BKNG,Short,25.363065853920855,0.2,100620.43243238516
2024-07-19,AAPL,Short,448.5828723825974,0.2,100621.31551630219
2024-07-19,ADBE,Short,182.61637569685573,0.2,100620.81231130376
2024-07-19,ON,Short,1387.3104191708485,0.2,100617.99390722638
2024-07-19,BIIB,Short,444.44180972449294,0.2,100521.00138595855
2024-07-22,FTNT,Long,1731.2155025997408,0.2,101188.92790694904
2024-07-22,CPRT,Long,1926.3192423230803,0.2,101088.35790031978
2024-07-22,DDOG,Long,834.7594986699729,0.2,101188.26406075286
2024-07-22,WDAY,Long,441.89503917361293,0.2,101088.35790031978
2024-07-22,XEL,Long,1815.3847219358552,0.2,101188.61978042523
2024-07-22,BKNG,Short,25.883652216572354,0.2,101187.51226749223
2024-07-22,AAPL,Short,451.81971965668,0.2,101188.82252343031
2024-07-22,WBD,Short,11835.034525194607,0.2,101088.35790031978
2024-07-22,DXCM,Short,906.3103095821556,0.2,101088.35790031978
2024-07-22,ASML,Short,107.50435203654713,0.2,101088.35790031978
2024-07-23,CSGP,Long,1352.7968995072408,0.2,101142.07169002663
2024-07-23,DDOG,Long,821.7134628466239,0.2,101241.70760296981
2024-07-23,FTNT,Long,1747.3820746409344,0.2,101242.37831386979
2024-07-23,CSCO,Long,2183.8505968963536,0.2,101142.07169002663
2024-07-23,TEAM,Long,578.1368080628426,0.2,101142.07169002663
2024-07-23,BKNG,Short,25.83264856766466,0.2,101243.11511153335
2024-07-23,ON,Short,1379.5246743020407,0.2,101142.07169002663
2024-07-23,ADBE,Short,185.4239175001396,0.2,101142.07169002663
2024-07-23,ASML,Short,108.53583824145508,0.2,101242.35282438737
2024-07-23,AAPL,Short,449.9503021051618,0.2,101242.89436739867
2024-07-24,CSGP,Long,1332.002935336005,0.2,101696.83446129606
2024-07-24,FTNT,Long,1795.5230080566587,0.2,101695.69537798953
2024-07-24,DDOG,Long,866.846422988148,0.2,101693.12708155878
2024-07-24,XEL,Long,1804.4432395153299,0.2,101596.72365834838
2024-07-24,CSX,Long,3063.2054139574816,0.2,101596.72365834838
2024-07-24,BKNG,Short,26.722096731170677,0.2,101695.03703637104
2024-07-24,GOOG,Short,583.233497323211,0.2,101596.72365834838
2024-07-24,ON,Short,1450.555144702327,0.2,101693.44213410569
2024-07-24,ADBE,Short,191.5080338361874,0.2,101695.1911714234
2024-07-24,PAYX,Short,825.2062953850962,0.2,101596.72365834838
2024-07-25,FTNT,Long,1793.3073674812335,0.2,102774.32071471793
2024-07-25,ROST,Long,728.3285893880345,0.2,102671.67324538928
2024-07-25,BKR,Long,2888.545317706517,0.2,102671.67324538928
2024-07-25,DDOG,Long,854.2469435512091,0.2,102772.93184974206
2024-07-25,CSCO,Long,2175.5809492261214,0.2,102671.67324538928
2024-07-25,BKNG,Short,28.081371789202954,0.2,102769.47290964225
2024-07-25,DXCM,Short,952.9387959865708,0.2,102671.67324538928
2024-07-25,ADBE,Short,193.13058907823014,0.2,102773.5842502707
2024-07-25,PAYX,Short,828.959871836738,0.2,102773.98232466128
2024-07-25,ON,Short,1521.6826517610357,0.2,102769.64374119049
2024-07-26,FTNT,Long,1830.6852858007423,0.2,104346.9307492981
2024-07-26,ROST,Long,740.5369283848936,0.2,104347.34101354957
2024-07-26,CPRT,Long,2044.0560793366003,0.2,104244.71222935167
2024-07-26,DDOG,Long,881.996986256065,0.2,104345.77818315766
2024-07-26,BKR,Long,2771.5553004404933,0.2,104344.65661631375
2024-07-26,BKNG,Short,28.194905029730705,0.2,104348.64110525556
2024-07-26,PCAR,Short,1051.4818977917173,0.2,104244.71222935167
2024-07-26,DXCM,Short,1630.4540826662862,0.2,104305.70031229482
2024-07-26,WBD,Short,12557.046452646924,0.2,104244.71222935167
2024-07-26,CTAS,Short,548.2029408479932,0.2,104244.71222935167
2024-07-29,FTNT,Long,1885.079642708717,0.2,108181.59785238215
2024-07-29,SBUX,Long,1438.6266480695745,0.2,108076.53482494742
2024-07-29,AVGO,Long,720.1752008079608,0.2,108076.53482494742
2024-07-29,CRWD,Long,418.0082707971864,0.2,108076.53482494742
2024-07-29,QCOM,Long,605.601880397012,0.2,108076.53482494742
2024-07-29,ZS,Short,597.2107269642679,0.2,108076.53482494742
2024-07-29,AMGN,Short,325.3577828250874,0.2,108076.53482494742
2024-07-29,BKNG,Short,28.809847574024314,0.2,108182.41035536761
2024-07-29,PEP,Short,624.5870062415439,0.2,108076.53482494742
2024-07-29,COST,Short,132.65084097840315,0.2,108076.53482494742
2024-07-30,ROST,Long,757.2378801488612,0.2,107987.61168385869
2024-07-30,FTNT,Long,1879.9253459347815,0.2,108095.41101918543
2024-07-30,CRWD,Long,462.6394616519464,0.2,108085.27931377913
2024-07-30,CPRT,Long,2090.0174949721404,0.2,107987.61168385869
2024-07-30,DXCM,Long,1550.8710491267252,0.2,107987.61168385869
2024-07-30,BKNG,Short,29.0502548179231,0.2,108094.8128383018
2024-07-30,CDW,Short,464.987769706362,0.2,107987.61168385869
2024-07-30,VRSK,Short,377.97024749944273,0.2,107987.61168385869
2024-07-30,GOOG,Short,628.9753695295797,0.2,107987.61168385869
2024-07-30,FAST,Short,1524.8371889115074,0.2,107987.61168385869
2024-07-31,AZN,Long,1356.497431221758,0.2,107259.40697730191
2024-07-31,FTNT,Long,1849.875466186104,0.2,107365.02965600484
2024-07-31,ABNB,Long,769.3234137953838,0.2,107259.40697730191
2024-07-31,WDAY,Long,472.73149022240204,0.2,107259.40697730191
2024-07-31,ADI,Long,464.02788264021115,0.2,107259.40697730191
2024-07-31,FAST,Short,1517.5515724530455,0.2,107366.25829368853
2024-07-31,CTSH,Short,1418.6941506091682,0.2,107259.40697730191
2024-07-31,CDW,Short,492.2597471486922,0.2,107360.82546003637
2024-07-31,BKNG,Short,28.90080335418174,0.2,107366.21853736919
2024-07-31,VRSK,Short,410.18824737747076,0.2,107358.34068958489
2024-08-01,AZN,Long,1349.1500267751603,0.2,109550.38144764527
2024-08-01,BIIB,Long,519.9382042885121,0.2,109441.42707880704
2024-08-01,FTNT,Long,1915.226863560519,0.2,109547.23995688424
2024-08-01,VRTX,Long,216.5980828053024,0.2,109441.42707880704
2024-08-01,CRWD,Long,488.5870014291512,0.2,109441.42707880704
2024-08-01,VRSK,Short,419.1413708667882,0.2,109548.63797902122
2024-08-01,ADBE,Short,200.49227400885408,0.2,109441.42707880704
2024-08-01,ADP,Short,419.2536669525696,0.2,109441.42707880704
2024-08-01,FAST,Short,1625.1442234892147,0.2,109543.72523586355
2024-08-01,CTSH,Short,1435.6045283941514,0.2,109549.68762597642
2024-08-02,WDAY,Long,511.43142147517915,0.2,109776.26937477986
2024-08-02,BIIB,Long,534.3098005135148,0.2,109883.19986777792
2024-08-02,CDNS,Long,440.19610375722215,0.2,109776.26937477986
2024-08-02,SBUX,Long,1448.1570836556716,0.2,109776.26937477986
2024-08-02,GOOGL,Long,659.3432924260361,0.2,109776.26937477986
2024-08-02,ADBE,Short,208.84155139855883,0.2,109881.76239116873
2024-08-02,VRSK,Short,412.08337966405134,0.2,109884.27344635021
2024-08-02,REGN,Short,101.54054415578727,0.2,109776.26937477986
2024-08-02,CSX,Short,3224.3588505379325,0.2,109776.26937477986
2024-08-02,ADP,Short,416.9936251955788,0.2,109885.5599641312
2024-08-05,CDNS,Long,441.1593040734846,0.2,108895.52324556294
2024-08-05,WDAY,Long,524.1673213089073,0.2,108893.11511873502
2024-08-05,APP,Long,1621.9207922530152,0.2,108786.86524092355
2024-08-05,FTNT,Long,1965.9823470277297,0.2,108786.86524092355
2024-08-05,BIIB,Long,548.8974310043153,0.2,108892.86696192132
2024-08-05,ADBE,Short,213.80617182903137,0.2,108893.23242141146
2024-08-05,ADP,Short,421.8476594968474,0.2,108894.50798143985
2024-08-05,VRSK,Short,415.1889641175381,0.2,108894.94646923881
2024-08-05,CHTR,Short,299.5756836366588,0.2,108786.86524092355
2024-08-05,XEL,Short,1877.8368313509002,0.2,108786.86524092355
2024-08-06,FTNT,Long,1949.8304926041815,0.2,108819.14103490648
2024-08-06,DXCM,Long,1446.1135211950038,0.2,108711.22242745412
2024-08-06,PLTR,Long,4092.5175571814734,0.2,108711.22242745412
2024-08-06,CSCO,Long,2409.655510133045,0.2,108711.22242745412
2024-08-06,AXON,Long,368.8814998980476,0.2,108711.22242745412
2024-08-06,ADP,Short,419.393540517089,0.2,108819.40569966937
2024-08-06,CHTR,Short,305.0060060604456,0.2,108818.10503949631
2024-08-06,VRSK,Short,417.0308938904817,0.2,108819.5618367646
2024-08-06,TTWO,Short,776.675769009196,0.2,108711.22242745412
2024-08-06,REGN,Short,102.06440545330598,0.2,108711.22242745412
2024-08-07,PLTR,Long,4215.46252896718,0.2,110947.73656433917
2024-08-07,CSCO,Long,2459.0198382640847,0.2,110948.7451575265
2024-08-07,FTNT,Long,1586.6004860827538,0.2,110925.57180149216
2024-08-07,TEAM,Long,807.4446511826557,0.2,110840.02150348309
2024-08-07,AAPL,Long,528.791195324452,0.2,110840.02150348309
2024-08-07,PDD,Short,833.278089086633,0.2,110840.02150348309
2024-08-07,ON,Short,1671.200082783231,0.2,110840.02150348309
2024-08-07,ADBE,Short,216.01762690458415,0.2,110840.02150348309
2024-08-07,ADP,Short,428.5310374517465,0.2,110948.60668659423
2024-08-07,CHTR,Short,313.473955220212,0.2,110947.97533001276
2024-08-08,TEAM,Long,820.4778334608383,0.2,113872.30412216982
2024-08-08,CSCO,Long,2484.7067084402534,0.2,113872.93576814349
2024-08-08,TXN,Long,589.1055933763217,0.2,113760.23888445325
2024-08-08,AMD,Long,835.3440938909009,0.2,113760.23888445325
2024-08-08,PCAR,Long,1220.7773851592779,0.2,113760.23888445325
2024-08-08,PDD,Short,825.0551331142938,0.2,113872.97806503226
2024-08-08,AXON,Short,309.05421385847814,0.2,113760.23888445325
2024-08-08,AVGO,Short,781.3510958238026,0.2,113760.23888445325
2024-08-08,QCOM,Short,690.3553507380914,0.2,113760.23888445325
2024-08-08,CTSH,Short,1544.474539709104,0.2,113760.23888445325
2024-08-09,TXN,Long,587.232162454114,0.2,112871.53779573375
2024-08-09,VRTX,Long,240.94758233888197,0.2,112759.02599001597
2024-08-09,CSCO,Long,2482.337692054246,0.2,112871.79016872591
2024-08-09,TEAM,Long,798.0761064356082,0.2,112868.72961181478
2024-08-09,WDAY,Long,532.5402194531151,0.2,112759.02599001597
2024-08-09,AXON,Short,309.2380764052161,0.2,112871.83077807432
2024-08-09,AVGO,Short,761.3105495069984,0.2,112868.92667661703
2024-08-09,ON,Short,1583.0560036016882,0.2,112759.02599001597
2024-08-09,ASML,Short,131.16251175295884,0.2,112759.02599001597
2024-08-09,QCOM,Short,686.2348055679433,0.2,112871.2201406519
2024-08-12,CSGP,Long,1571.2138821315843,0.2,113061.35947794042
2024-08-12,TEAM,Long,805.2261227648318,0.2,113173.52907713548
2024-08-12,CSCO,Long,2522.838441197813,0.2,113172.71714832107
2024-08-12,TXN,Long,589.2665596719321,0.2,113174.1432856277
2024-08-12,AMZN,Long,678.5043881374171,0.2,113061.35947794042
2024-08-12,AXON,Short,307.5144265069048,0.2,113173.89965708241
2024-08-12,ADBE,Short,213.1628191535674,0.2,113061.35947794042
2024-08-12,TTWO,Short,768.3789746129853,0.2,113061.35947794042
2024-08-12,REGN,Short,100.95044774496908,0.2,113061.35947794042
2024-08-12,CHTR,Short,322.6551797839631,0.2,113061.35947794042
2024-08-13,WBD,Long,15984.313449260992,0.2,112736.40278511569
2024-08-13,TEAM,Long,788.0534528079698,0.2,112846.79291086741
2024-08-13,AMZN,Long,662.9222514801287,0.2,112846.59949009624
2024-08-13,ABNB,Long,965.348593363111,0.2,112736.40278511569
2024-08-13,SBUX,Long,1176.7387929258805,0.2,112736.40278511569
2024-08-13,REGN,Short,97.42409876156627,0.2,112845.16736148986
2024-08-13,ADBE,Short,210.84648969451084,0.2,112848.01229136762
2024-08-13,TTWO,Short,778.9152970310317,0.2,112847.72553470946
2024-08-13,ASML,Short,129.78786795088212,0.2,112736.40278511569
2024-08-13,APP,Short,1414.32824592426,0.2,112736.40278511569
2024-08-14,WBD,Long,16606.19353475458,0.2,115574.7793499491
2024-08-14,TEAM,Long,805.4293215008213,0.2,115576.61419821043
2024-08-14,ABNB,Long,994.3144335809719,0.2,115575.7406461628
2024-08-14,TXN,Long,590.8650236426165,0.2,115463.52852773249
2024-08-14,AMZN,Long,679.4773867617093,0.2,115576.2916067554
2024-08-14,REGN,Short,99.90760256112094,0.2,115576.23456919868
2024-08-14,ADBE,Short,214.11866159084747,0.2,115577.34134977183
2024-08-14,CRWD,Short,451.09322880617043,0.2,115463.52852773249
2024-08-14,TTD,Short,1171.1328886022573,0.2,115463.52852773249
2024-08-14,QCOM,Short,691.4694098460212,0.2,115463.52852773249
2024-08-15,WBD,Long,15858.376908140448,0.2,114809.23099303682
2024-08-15,ABNB,Long,965.8028923107267,0.2,114811.25573329446
2024-08-15,TEAM,Long,781.9563015285524,0.2,114811.19864167683
2024-08-15,TXN,Long,568.5863881032714,0.2,114810.14646053106
2024-08-15,CSCO,Long,2365.8489197041304,0.2,114699.83054005711
2024-08-15,REGN,Short,97.68715975779982,0.2,114812.0354322999
2024-08-15,ADBE,Short,207.18682465234173,0.2,114810.80383867066
2024-08-15,CRWD,Short,440.7641348596092,0.2,114811.95455966108
2024-08-15,QCOM,Short,662.3667221120427,0.2,114809.60052545712
2024-08-15,CCEP,Short,1495.3718026914214,0.2,114699.83054005711
2024-08-16,WBD,Long,15603.33994285478,0.2,115618.85677179936
2024-08-16,CSGP,Long,1561.5983950025288,0.2,115505.12584907754
2024-08-16,CSCO,Long,2337.661721307447,0.2,115619.35245686631
2024-08-16,AEP,Long,1192.7041848957895,0.2,115505.12584907754
2024-08-16,ABNB,Long,994.0740179056958,0.2,115617.45838112428
2024-08-16,ADBE,Short,208.90532650140628,0.2,115619.79547360206
2024-08-16,REGN,Short,98.04100775121292,0.2,115620.32929917536
2024-08-16,PDD,Short,774.4708406146923,0.2,115505.12584907754
2024-08-16,AVGO,Short,697.6873385469718,0.2,115505.12584907754
2024-08-16,ASML,Short,125.85804321038249,0.2,115505.12584907754
2024-08-19,CSCO,Long,2310.594570659615,0.2,115482.16276768423
2024-08-19,CDW,Long,526.8408631006024,0.2,115368.03206827736
2024-08-19,BKR,Long,3284.5141093583143,0.2,115368.03206827736
2024-08-19,CSGP,Long,1541.6300886162485,0.2,115482.0197579567
2024-08-19,TXN,Long,575.5183568037988,0.2,115368.03206827736
2024-08-19,REGN,Short,96.48712912968126,0.2,115481.6557776091
