Date,Ticker,Position_Type,Shares,Weight,Price
15/7/24,AVGO,Long,583.3625077,0.2,171.4199982
15/7/24,AXON,Long,324.0020582,0.2,308.6400146
15/7/24,PCAR,Long,956.4801251,0.2,104.5500031
15/7/24,TXN,Long,495.6383957,0.2,201.7599945
15/7/24,VRTX,Long,203.728224,0.2,490.8500061
15/7/24,BKNG,Short,24.46183953,0.2,4088
15/7/24,ADBE,Short,176.7690091,0.2,565.710022
15/7/24,DXCM,Short,884.8774277,0.2,113.0100021
15/7/24,REGN,Short,92.41204809,0.2,1082.109985
15/7/24,ASML,Short,94.01765608,0.2,1063.630005
16/7/24,XEL,Long,1870.654166,0.2,53.93000031
16/7/24,TXN,Long,488.2604884,0.2,206.6199951
16/7/24,SBUX,Long,1336.039953,0.2,75.51000214
16/7/24,AZN,Long,1283.679659,0.2,78.58999634
16/7/24,CDNS,Long,323.6274217,0.2,311.730011
16/7/24,BKNG,Short,24.49191048,0.2,4119.089844
16/7/24,AAPL,Short,429.6242934,0.2,234.8200073
16/7/24,ADBE,Short,178.0710694,0.2,566.539978
16/7/24,ASML,Short,94.44423301,0.2,1068.189941
16/7/24,DXCM,Short,869.2433384,0.2,116.0599976
17/7/24,CDNS,Long,350.7250569,0.2,288.1199951
17/7/24,FTNT,Long,1709.539852,0.2,59.11000061
17/7/24,CSCO,Long,2082.664895,0.2,48.52000046
17/7/24,TXN,Long,494.7170488,0.2,204.2599945
17/7/24,XEL,Long,1826.661284,0.2,55.31999969
17/7/24,BKNG,Short,25.32832646,0.2,3989.639893
17/7/24,AAPL,Short,441.5016581,0.2,228.8800049
17/7/24,ADBE,Short,179.4578075,0.2,563.0900269
17/7/24,DXCM,Short,881.6935794,0.2,114.6100006
17/7/24,WBD,Short,12145.54151,0.2,8.319999695
18/7/24,FTNT,Long,1735.259206,0.2,58.13000107
18/7/24,DDOG,Long,848.9363723,0.2,118.8199997
18/7/24,ROST,Long,698.0665709,0.2,144.5
18/7/24,AZN,Long,1292.219096,0.2,78.05999756
18/7/24,XEL,Long,1808.365394,0.2,55.77999878
18/7/24,BKNG,Short,25.66316708,0.2,3930.560059
18/7/24,AAPL,Short,449.9537104,0.2,224.1799927
18/7/24,ADBE,Short,181.1450551,0.2,556.8499756
18/7/24,ASML,Short,109.1496151,0.2,924.1500244
18/7/24,ON,Short,1337.274547,0.2,75.43000031
19/7/24,FTNT,Long,1720.616002,0.2,58.47999954
19/7/24,DDOG,Long,845.3467533,0.2,119.0299988
19/7/24,CDNS,Long,359.4271071,0.2,279.9500122
19/7/24,XEL,Long,1798.741964,0.2,55.93999863
19/7/24,AZN,Long,1278.384248,0.2,78.70999908
19/7/24,BKNG,Short,25.36306585,0.2,3967.25
19/7/24,AAPL,Short,448.5828724,0.2,224.3099976
19/7/24,ADBE,Short,182.6163757,0.2,551
19/7/24,ON,Short,1387.310419,0.2,72.52999878
19/7/24,BIIB,Short,444.4418097,0.2,226.3999939
22/7/24,FTNT,Long,1731.215503,0.2,58.45000076
22/7/24,CPRT,Long,1926.319242,0.2,52.52999878
22/7/24,DDOG,Long,834.7594987,0.2,121.2200012
22/7/24,WDAY,Long,441.8950392,0.2,228.9900055
22/7/24,XEL,Long,1815.384722,0.2,55.74000168
22/7/24,BKNG,Short,25.88365222,0.2,3909.399902
22/7/24,AAPL,Short,451.8197197,0.2,223.9600067
22/7/24,WBD,Short,11835.03453,0.2,8.550000191
22/7/24,DXCM,Short,906.3103096,0.2,111.6500015
22/7/24,ASML,Short,107.504352,0.2,941.2600098
23/7/24,CSGP,Long,1352.7969,0.2,74.83999634
23/7/24,DDOG,Long,821.7134628,0.2,123.2099991
23/7/24,FTNT,Long,1747.382075,0.2,57.93999863
23/7/24,CSCO,Long,2183.850597,0.2,46.36000061
23/7/24,TEAM,Long,578.1368081,0.2,175.1199951
