,Company,Tweet_Count,Text,Created_At,Retweets,Likes,URL,Cleaned_Text
0,ADBE,1,"14. Some of my favorite options-friendly names?  $XLK - $MSFT $AAPL $NVDA $ORCL $ADBE $CRM $XLY - $AMZN $HD $LOW  $XLC - $NFLX $FB  $XLF - $JPM $GS $XLI - $DE $CAT  $SMH - $AMD $AVGO  $XLP - $COST  They follow trends = moves easier to ride, and have high open interest + Fib =🤑 https://t.co/CxF77mHKkK",Sat Jan 01 07:32:57 +0000 2022,1,7,https://twitter.com/traderDanielle/status/1477181032692658179,14 some of my favorite optionsfriendly names
3,ADBE,4,"A strong Dec (+3.4%) led to my p/f closing the year at +19.2% &amp; a new ATH. Dec⭐️'s: #SHED+9%,#EBOX+6%,#APAX+6%,🇺🇸: $AVGO+20%, $WBA+19%, $MA+17%. Dec🐶's:#SONG-2%,#AEET-2%,#RECI-1.6%, 🇺🇸$ADBE-14%. Will add more stats for the year tmrw, but meantime, a Happy New Year to you all!🍾",Sat Jan 01 17:57:04 +0000 2022,0,53,https://twitter.com/sloan_phil/status/1477338095569747978,a strong dec 34 led to my pf closing the year at 192 amp a new ath decs 966 decs2216 will add more stats for the year tmrw but meantime a happy new year to you all
6,ADBE,7,"1/2 I love SAAS businesses. I have a portfolio stacked with names like $CRWD $ZS, $ADBE, $HUBS, $TEAM Locked in recurring revenue for utility-like services that are difficult to cut off provide for revenue predictability, and opportunities to increase customer spend with time.",Sat Jan 01 16:07:21 +0000 2022,1,7,https://twitter.com/fintegrate/status/1477310485569675272,12 i love saas businesses i have a portfolio stacked with names like locked in recurring revenue for utilitylike services that are difficult to cut off provide for revenue predictability and opportunities to increase customer spend with time
8,ADBE,9,Stocks that I think will return &gt;25-30% from today’s prices in 2022: $AMZN 3334 $FB 336 $SQ 161 $SOFI 15 $PLTR 18 $ADBE 575 $NIO 31 $MU 93 $RBLX 102,Sat Jan 01 02:04:07 +0000 2022,0,0,https://twitter.com/CrazySa27066746/status/1477098276809752579,stocks that i think will return gt2530 from todays prices in 2022 3334 336 161 15 18 575 31 93 102
9,ADBE,10,"At the times of inflation,all you need is to buy companies not effected from it.or best way to say will be more powerful after it.#nvda #AMD $nvda $amd $adbe $crm $twlo",Sat Jan 01 15:36:12 +0000 2022,0,1,https://twitter.com/ilkerKaan15/status/1477302648181338119,at the times of inflationall you need is to buy companies not effected from itor best way to say will be more powerful after it
10,ADBE,11,Stock tip of the hour: think about holding ADBE!!!,Sat Jan 01 11:42:31 +0000 2022,0,0,https://twitter.com/hourlystocktips/status/1477243838175408130,stock tip of the hour think about holding adbe
12,ADBE,13,$ADBE #Adobe's chief product officer predicts the 5 biggest tech trends of 2022 https://t.co/vHLSEKLrf7 via @businessinsider @scottbelsky @adobe,Sat Jan 01 14:40:26 +0000 2022,0,0,https://twitter.com/TradingAllIn/status/1477288610760118281,s chief product officer predicts the 5 biggest tech trends of 2022 via
13,ADBE,14,"$ADBE $ASML $BGRY $BLK $CLLKF this is $BICO (the stock, not crypto) $COST $ET $GFS $GRWG $IGV $INTU $IONQ $MSFT $NEGG $NVDA $PBA $QQQE $RBLX $SBUX $SPG $TSLA $UNP $VGR $YUM crypto held $ALGO $ATOM $BICO $MANA $QNT",Sat Jan 01 17:02:12 +0000 2022,0,0,https://twitter.com/pennies2dollar/status/1477324289015791618,this is the stock not crypto crypto held
17,ADBE,18,"Let’s start the year off with an $ADBE call JAN 21-28 630-650$ strike, looking at 500-2k% across a spread. 50-100$ risk https://t.co/I7HX6aNJx5",Sun Jan 02 03:32:55 +0000 2022,0,2,https://twitter.com/1seebas1/status/1477483011918684163,lets start the year off with an call jan 2128 630650$ strike looking at 5002k across a spread 50100$ risk
19,ADBE,20,$ADBE Fails 200MA but doesn't want to appear to want to mess around down in previous range. See if it holds 560.16  pivot 👀 https://t.co/7GqT8F4rr4,Sun Jan 02 06:17:32 +0000 2022,0,7,https://twitter.com/JoTrader4/status/1477524441584308228,fails 200ma but doesnt want to appear to want to mess around down in previous range see if it holds 56016
24,ADBE,25,$ADBE back down to the bottom of its current channel. Definitely wouldnt mind taking a couple swings here since we filled that tiny gap last time we came down. #StockMarket #Stocks #trading #investing #stockstowatch https://t.co/qN9CRsSq1p,Sun Jan 02 18:59:33 +0000 2022,0,0,https://twitter.com/XtradesOfficial/status/1477716208119992322,back down to the bottom of its current channel definitely wouldnt mind taking a couple swings here since we filled that tiny gap last time we came down
25,ADBE,26,Top 25 Stocks/ETF/Crypto in my US #portfolio  7th Upd - 02Jan22  GOOGL NVDA AMZN MSFT TSLA ZS AMD SHOP MELI COST CMG PUBM ISRG ADBE SNOW NKE RNG DDOG TWLO SQ AFRM CRM TQQQ ABNB COIN https://t.co/h9qSar2x7j,Sun Jan 02 02:52:40 +0000 2022,2,16,https://twitter.com/Coolfundoo/status/1477472886793375748,top 25 stocksetfcrypto in my us
26,ADBE,27,Top Flow from SweepCast: $ADBE with Most Aggressive Flow for total premium worth 5.6M ranking #9 for the day in #unusualactivity 🐂 https://t.co/x4BwDSN6zJ https://t.co/FtFGtkR8lr,Sun Jan 02 18:22:17 +0000 2022,0,0,https://twitter.com/SweepCastApp/status/1477706831942270980,top flow from sweepcast with most aggressive flow for total premium worth 56m ranking for the day in
27,ADBE,28,"$ADBE in Uptrend: price expected to rise as it breaks its lower Bollinger Band on December 16, 2021. View odds for this and other indicators: https://t.co/qukiYeZxy7 #Adobe https://t.co/7PO6pjc3yj",Sun Jan 02 17:27:06 +0000 2022,0,0,https://twitter.com/Tickeron/status/1477692941313331200,in uptrend price expected to rise as it breaks its lower bollinger band on december 16 2021 view odds for this and other indicators
