company,Date,Positive,Negative,Neutral,Surprise,Joy,Anger,Fear,Sadness,Disgust,Intent Sentiment
AAPL,2022/01/01,0.139511578,0.102136663,0.758351738,0.156021802,0.641058837,0.063002153,0.105875789,0.030666496,0.003374923,Neutral
ABNB,2022/01/01,0.136320159,0.03107708,0.832602775,0.274955604,0.511810504,0.109872132,0.04539599,0.052398616,0.005567153,Buy
ADBE,2022/01/01,0.198875692,0.031848937,0.769275357,0.156645143,0.48506779,0.170984024,0.148578733,0.034854068,0.003870242,Buy
ADP,2022/01/01,0.013380754,0.918057978,0.068561353,0.011783511,0.10018141,0.088086868,0.553576076,0.24403579,0.002336345,Sell
ADSK,2022/01/01,0.054342144,0.032067,0.913590848,0.165678995,0.276361643,0.138336938,0.348840507,0.067348071,0.003433846,Neutral
AEP,2022/01/01,0.197951086,0.022950668,0.779098243,0.303560167,0.522636475,0.093110605,0.043262062,0.033437608,0.003993081,Buy
AMAT,2022/01/01,0.053506754,0.027932503,0.918560748,0.192360927,0.597321592,0.112799322,0.041336682,0.052425234,0.003756242,Neutral
AMGN,2022/01/01,0.07500105,0.044913964,0.880084952,0.348552682,0.356912326,0.128672035,0.122138241,0.039682186,0.004042529,Buy
AMZN,2022/01/01,0.175201188,0.037280973,0.787517865,0.319275355,0.430219651,0.160074542,0.049257864,0.037500446,0.003672143,Neutral
ANSS,2022/01/01,0.252397716,0.016830729,0.730771601,0.396482189,0.003715274,0.071584045,0.516140772,0.010586574,0.001491146,Neutral
ASML,2022/01/01,0.129642555,0.156108789,0.714248659,0.208436982,0.453899543,0.155159655,0.098320941,0.079555326,0.004627552,Neutral
AVGO,2022/01/01,0.175981001,0.1068822,0.717136806,0.22847731,0.457407129,0.162051673,0.102474067,0.043991801,0.00559802,Neutral
AXON,2022/01/01,0.06887737,0.11905052,0.812072111,0.083259421,0.482993047,0.164042833,0.241391228,0.027559862,0.00075361,Neutral
AZN,2022/01/01,0.263273146,0.034631005,0.702095846,0.032292322,0.335573689,0.198048289,0.307679359,0.124716491,0.00168985,Neutral
BIIB,2022/01/01,0.27703049,0.112435448,0.610534069,0.21309601,0.343744792,0.153179043,0.16050055,0.125692635,0.00378697,Neutral
BKNG,2022/01/01,0.149380762,0.060630626,0.789988659,0.130421747,0.470015937,0.179708126,0.146110083,0.072272802,0.001471306,Neutral
BKR,2022/01/01,0.025807137,0.28123036,0.692962497,0.00950306,0.351746991,0.081683251,0.519895336,0.036319706,0.000851655,Neutral
CDNS,2022/01/01,0.070686135,0.028161999,0.901151856,0.159577661,0.422464603,0.086768618,0.296445477,0.033630551,0.00111309,Neutral
CDW,2022/01/01,0.382879704,0.07701584,0.540104493,0.436925534,0.323213353,0.173147464,0.034033748,0.029700664,0.002979237,Buy
CHTR,2022/01/01,0.019450409,0.068980239,0.911569417,0.007361666,0.352600822,0.327875324,0.057153558,0.254043943,0.000964686,Neutral
CMCSA,2022/01/01,0.100360474,0.051727646,0.847911874,0.195167795,0.314753425,0.15351334,0.140935798,0.1840546,0.011575041,Neutral
COST,2022/01/01,0.216824382,0.059374183,0.72380147,0.222700967,0.494531504,0.119609903,0.116002714,0.042915276,0.004239637,Neutral
CPRT,2022/01/01,0.045821993,0.018431271,0.935746714,0.235408937,0.5066439,0.09103079,0.076027032,0.086878071,0.004011269,Neutral
CRWD,2022/01/01,0.135664152,0.04041885,0.823917004,0.187517653,0.376974383,0.183814879,0.165107683,0.083166069,0.003419334,Neutral
CSCO,2022/01/01,0.277481787,0.015317512,0.707200703,0.23031374,0.501902143,0.152394443,0.074712544,0.038622946,0.002054185,Neutral
CSX,2022/01/01,0.151863709,0.061874116,0.78626218,0.216775597,0.483077812,0.087702017,0.116331025,0.090758353,0.005355196,Neutral
CTAS,2022/01/01,0.130279288,0.019638186,0.850082457,0.351487675,0.588382472,0.029109859,0.011959212,0.016504573,0.002556209,Neutral
CTSH,2022/01/01,0.8748402,0.010084782,0.115075067,0.162148745,0.808563194,0.010983971,0.003623124,0.011202771,0.003478195,Neutral
DDOG,2022/01/01,0.114382637,0.109572018,0.776045361,0.205030379,0.465801364,0.109520794,0.174468168,0.04321948,0.001959814,Buy
GOOG,2022/01/01,0.116740398,0.053821923,0.829437686,0.353145276,0.377010117,0.143965472,0.095802995,0.028135965,0.001940176,Neutral
GOOGL,2022/01/01,0.094490883,0.050082192,0.855426921,0.205073682,0.37903554,0.197995591,0.148408371,0.064072838,0.005413977,Neutral
VRTX,2022/01/01,0.177684468,0.242541665,0.579773895,0.1821678,0.43347358,0.14484791,0.13954731,0.096983375,0.002980023,Neutral
WDAY,2022/01/01,0.149127193,0.09186553,0.759007275,0.134982545,0.419545431,0.155385152,0.133891516,0.137041743,0.019153615,Neutral
XEL,2022/01/01,0.220541281,0.027658538,0.751800185,0.284370271,0.618923235,0.049140457,0.024415652,0.019851967,0.003298418,Neutral
ZS,2022/01/01,0.100528357,0.031146633,0.868324995,0.188813595,0.530279122,0.115794982,0.104107832,0.057174029,0.00383044,Buy
