company,Date,Positive,Negative,Neutral,Surprise,Joy,Anger,Fear,Sadness,Disgust,Intent Sentiment
ABNB,2022/1/1,0.174075221,0.046127407,0.779797375,0.069925692,0.610473613,0.106618063,0.091220572,0.110635805,0.011126257,neutral
ABNB,2022/1/2,0.178094124,0.040689126,0.781216756,0.173533081,0.650356386,0.068247463,0.042597147,0.055552314,0.00971361,neutral
ABNB,2022/1/3,0.257970646,0.134265309,0.607764033,0.234952488,0.335993461,0.0937612,0.244425455,0.079000414,0.011866981,neutral
ABNB,2022/1/4,0.234382171,0.150592939,0.615024905,0.121036876,0.336700098,0.257504083,0.106703684,0.160296596,0.017758664,neutral
ABNB,2022/1/5,0.204764351,0.198263279,0.596972373,0.261265539,0.380373262,0.101051233,0.189962289,0.059118279,0.008229398,neutral
ABNB,2022/1/6,0.031178646,0.476058954,0.492762372,0.202687387,0.556422637,0.089743923,0.073341171,0.060343243,0.017461639,sell
ABNB,2022/1/7,0.10198293,0.145689947,0.752327103,0.183716383,0.519377767,0.171001123,0.038812229,0.074561566,0.012530933,neutral
ABNB,2022/1/8,0.182736958,0.341544342,0.475718724,0.20072667,0.185589997,0.164252769,0.11179838,0.328397253,0.009234931,neutral
ABNB,2022/1/9,0.169564863,0.128168591,0.702266525,0.206805018,0.415549919,0.115792229,0.103488937,0.138734337,0.01962956,neutral
ABNB,2022/1/10,0.21384608,0.20028522,0.585868691,0.221002133,0.486750745,0.142509817,0.051006956,0.09386196,0.004868389,neutral
ABNB,2022/1/11,0.060665752,0.0399856,0.899348632,0.181456412,0.441863999,0.201593205,0.085633907,0.080660654,0.008791824,neutral
ABNB,2022/1/12,0.200374449,0.212970855,0.586654681,0.200203867,0.351597491,0.145189289,0.029528318,0.260413427,0.013067609,neutral
ABNB,2022/1/13,0.327470126,0.092444275,0.580085622,0.18440971,0.266210311,0.156926834,0.27304001,0.090716899,0.028696235,neutral
ABNB,2022/1/14,0.218500457,0.043180281,0.738319248,0.286989347,0.337134351,0.242565767,0.056630382,0.054617571,0.022062582,neutral
ABNB,2022/1/15,0.297412052,0.022673072,0.67991487,0.224307159,0.658719769,0.045339342,0.029620442,0.034208581,0.007804706,neutral
ABNB,2022/1/16,0.09188341,0.312363717,0.595752865,0.16094716,0.347058396,0.157909245,0.079053435,0.240278629,0.014753136,neutral
ABNB,2022/1/17,0.176152407,0.037026676,0.786820922,0.166760828,0.509174044,0.140075256,0.081499915,0.092622385,0.009867571,neutral
ABNB,2022/1/18,0.076694947,0.210295888,0.713009202,0.283213245,0.314572973,0.181617058,0.101262068,0.107988107,0.01134655,neutral
ABNB,2022/1/19,0.206475757,0.304518211,0.489006047,0.159786518,0.316056316,0.159902128,0.126209334,0.229603928,0.008441777,neutral
ABNB,2022/1/20,0.385370711,0.114620211,0.500009068,0.200605895,0.348702879,0.17345242,0.087101699,0.17840984,0.011727268,neutral
ABNB,2022/1/21,0.188842399,0.082695967,0.728461631,0.32357097,0.326134925,0.113402869,0.06809749,0.125586329,0.043207416,neutral
ABNB,2022/1/22,0.054600771,0.0716564,0.873742819,0.223438973,0.30017342,0.191560452,0.156122054,0.108285937,0.020419164,neutral
ABNB,2022/1/23,0.226957242,0.017820855,0.755221896,0.174072761,0.651018128,0.094131512,0.016990895,0.057978526,0.005808178,neutral
ABNB,2022/1/24,0.063684495,0.153589692,0.782725802,0.245817298,0.323146373,0.223270174,0.111855267,0.085077212,0.010833676,neutral
ABNB,2022/1/25,0.138523535,0.032733293,0.82874316,0.224763766,0.479508521,0.149595542,0.093412794,0.046644764,0.006074613,neutral
ABNB,2022/1/26,0.121468559,0.262172182,0.616359275,0.164112211,0.504166963,0.131212206,0.040587634,0.145938702,0.013982284,neutral
ABNB,2022/1/27,0.10127039,0.443008337,0.45572127,0.211656516,0.375190824,0.131637828,0.097175821,0.165120857,0.019218155,sell
ABNB,2022/1/28,0.164642908,0.112231847,0.723125244,0.213763246,0.483254367,0.228831906,0.013046328,0.057267268,0.003836885,neutral
ABNB,2022/1/29,0.141890866,0.135198108,0.72291101,0.20469787,0.52790254,0.111063373,0.048060024,0.102423484,0.005852709,neutral
ABNB,2022/1/30,0.244693766,0.181177805,0.574128429,0.179647403,0.361922505,0.121225023,0.085272423,0.240271465,0.011661181,neutral
ABNB,2022/1/31,0.049261946,0.256467705,0.694270357,0.280936392,0.374591629,0.127805031,0.089736674,0.108170402,0.018759872,neutral
ABNB,2022/2/1,0.112039658,0.134198875,0.753761451,0.282363648,0.471688163,0.115734104,0.059671169,0.061465233,0.009077682,neutral
ABNB,2022/2/2,0.309744783,0.043314255,0.646940966,0.205951061,0.471947278,0.174910067,0.05873672,0.080348992,0.008105882,neutral
ABNB,2022/2/3,0.140396127,0.364751639,0.494852266,0.038319789,0.678341004,0.070480977,0.065960047,0.137965271,0.008932912,neutral
ABNB,2022/2/4,0.127230589,0.133115046,0.739654364,0.066247169,0.377639904,0.283372944,0.087477378,0.161923548,0.023339057,neutral
ABNB,2022/2/5,0.174326067,0.088207809,0.737466097,0.259928268,0.385545463,0.209008084,0.10749561,0.028346318,0.009676256,neutral
ABNB,2022/2/6,0.352297008,0.028515233,0.619187762,0.259528199,0.556450902,0.076807926,0.049061964,0.044805922,0.013345086,neutral
ABNB,2022/2/7,0.173011667,0.052732295,0.774256051,0.22581935,0.405468937,0.129772327,0.161698359,0.061273704,0.015967323,neutral
ABNB,2022/2/8,0.164364353,0.151866382,0.683769258,0.118076524,0.512593785,0.145925918,0.040990947,0.174097479,0.008315346,neutral
ABNB,2022/2/9,0.033394789,0.183027014,0.783578187,0.235488344,0.12243193,0.303348032,0.149761959,0.18478808,0.004181656,neutral
ABNB,2022/2/10,0.169621357,0.153355919,0.677022725,0.131789314,0.466178539,0.117591861,0.174319672,0.090428976,0.019691639,neutral
ABNB,2022/2/11,0.06969534,0.325042006,0.605262645,0.161473244,0.189847235,0.235477967,0.146517813,0.256814118,0.009869622,sell
ABNB,2022/2/12,0.109535385,0.037263036,0.853201576,0.207658887,0.487972103,0.166407577,0.041384421,0.087443775,0.009133237,neutral
ABNB,2022/2/13,0.154435971,0.118908464,0.726655577,0.215346824,0.572234802,0.076090691,0.046147988,0.083501499,0.006678196,neutral
ABNB,2022/2/14,0.187160191,0.051221083,0.761618713,0.19866983,0.519742242,0.096779076,0.019803518,0.157460356,0.007544978,neutral
ABNB,2022/2/15,0.440638599,0.100063136,0.459298277,0.16852133,0.584287003,0.098386519,0.065137624,0.077533959,0.006133566,buy
ABNB,2022/2/16,0.206567825,0.243817867,0.549614333,0.191904552,0.327995951,0.17595843,0.055748079,0.219975018,0.028417971,neutral
ABNB,2022/2/17,0.216564725,0.217638636,0.56579664,0.124141658,0.450702062,0.218118812,0.087378873,0.112494498,0.007164096,neutral
ABNB,2022/2/18,0.229757549,0.166852165,0.603390298,0.201260509,0.538980421,0.082312779,0.093169644,0.077865945,0.006410702,neutral
ABNB,2022/2/19,0.184123886,0.18611489,0.629761195,0.180902391,0.466846211,0.061955847,0.251662165,0.036089343,0.002544042,neutral
ABNB,2022/2/20,0.179806889,0.158448027,0.66174506,0.221180328,0.330912322,0.105887661,0.207248303,0.131551032,0.003220354,neutral
ABNB,2022/2/21,0.150883438,0.149161049,0.699955497,0.229538861,0.346138127,0.094559861,0.269166862,0.055737473,0.004858816,neutral
ABNB,2022/2/22,0.227646081,0.171133179,0.601220736,0.168584166,0.378224786,0.186811003,0.071159707,0.184509548,0.010710791,neutral
ABNB,2022/2/23,0.246900256,0.137792811,0.615306931,0.189818315,0.420491903,0.182764306,0.028977193,0.154613322,0.023334961,neutral
ABNB,2022/2/24,0.288353223,0.100552633,0.611094146,0.240055534,0.45165618,0.185946087,0.040635715,0.072674018,0.009032467,neutral
ABNB,2022/2/25,0.053158221,0.048705748,0.898136033,0.225188986,0.427406072,0.098078978,0.123639405,0.117100592,0.008585968,neutral
ABNB,2022/2/26,0.403816218,0.027049278,0.569134528,0.101831015,0.364733485,0.045804949,0.267421496,0.211265531,0.008943524,buy
ABNB,2022/2/27,0.077448575,0.162559852,0.75999158,0.164119424,0.385077542,0.130834554,0.097315313,0.206325909,0.016327258,neutral
ABNB,2022/2/28,0.145538974,0.148904472,0.705556538,0.181921258,0.401878886,0.141057756,0.081583445,0.152452194,0.041106461,neutral
ABNB,2022/3/1,0.267331921,0.064085032,0.668583052,0.248338832,0.397809755,0.185924292,0.058768365,0.099585506,0.00957325,neutral
ABNB,2022/3/2,0.32291766,0.055999796,0.621082574,0.165774958,0.456418294,0.132554942,0.078700089,0.130768142,0.035783575,neutral
ABNB,2022/3/3,0.351274898,0.014826322,0.633898745,0.148489108,0.719145393,0.056571673,0.042914035,0.026777413,0.006102378,neutral
ABNB,2022/3/4,0.106126493,0.437020444,0.456853073,0.17887392,0.281737231,0.244612164,0.052924333,0.232537018,0.009315333,neutral
ABNB,2022/3/5,0.111399719,0.154512593,0.734087679,0.094588221,0.485378164,0.128144224,0.088188934,0.192182718,0.011517738,neutral
ABNB,2022/3/6,0.175238218,0.21914082,0.605620972,0.258276924,0.421260705,0.123015353,0.112853066,0.076221241,0.008372711,neutral
ABNB,2022/3/7,0.071708017,0.395129322,0.533162651,0.164134616,0.326533933,0.139818529,0.049452033,0.296039005,0.024021883,neutral
ABNB,2022/3/8,0.255085518,0.157017647,0.587896828,0.199558693,0.344055694,0.25428382,0.034826946,0.136333525,0.030941322,neutral
ABNB,2022/3/9,0.169012105,0.199502084,0.631485814,0.199353845,0.382159497,0.1637783,0.102738066,0.13564921,0.016321082,neutral
ABNB,2022/3/10,0.214334995,0.046850245,0.738814775,0.29422096,0.368027105,0.108510191,0.090612089,0.131003131,0.007626524,neutral
ABNB,2022/3/11,0.210395959,0.193848716,0.595755325,0.182022887,0.30957071,0.176639592,0.236524596,0.088070228,0.007171987,neutral
ABNB,2022/3/12,0.236673608,0.354333754,0.408992656,0.174853232,0.262858027,0.270135029,0.153345509,0.131757455,0.007050747,neutral
ABNB,2022/3/13,0.116732592,0.225385874,0.657881523,0.197091845,0.373680886,0.116861591,0.059504278,0.236187389,0.016674011,neutral
ABNB,2022/3/14,0.129548406,0.268841328,0.601610246,0.227185457,0.458478188,0.109462013,0.068301673,0.133457365,0.003115304,neutral
ABNB,2022/3/15,0.236835816,0.301522163,0.461642042,0.176442095,0.426595298,0.173339485,0.052182502,0.145832392,0.025608228,neutral
ABNB,2022/3/16,0.191498304,0.050336394,0.758165289,0.253010622,0.473935003,0.136628324,0.058430716,0.064172591,0.013822744,neutral
ABNB,2022/3/17,0.092291012,0.187953613,0.719755397,0.297219965,0.295184878,0.189556707,0.125749205,0.066573015,0.02571623,neutral
ABNB,2022/3/18,0.146193982,0.040107822,0.813698207,0.200940949,0.465123543,0.191009672,0.062215244,0.066186557,0.014524035,neutral
ABNB,2022/3/19,0.046231387,0.191388347,0.762380267,0.141383309,0.415959231,0.19274264,0.06265632,0.122330524,0.064927975,neutral
ABNB,2022/3/20,0.204405769,0.120679295,0.674914937,0.140207265,0.414258241,0.192736349,0.069241991,0.131459947,0.052096206,neutral
ABNB,2022/3/21,0.032288377,0.340254743,0.627456903,0.226722938,0.32522422,0.165513412,0.068659978,0.205615496,0.008263956,neutral
ABNB,2022/3/22,0.294105301,0.044404578,0.661490108,0.223875962,0.427661064,0.130011423,0.135801417,0.064326614,0.01832352,neutral
ABNB,2022/3/23,0.184591766,0.12628326,0.689124979,0.151410006,0.432296518,0.186118862,0.0984727,0.12271285,0.008989064,neutral
ABNB,2022/3/24,0.247559989,0.023851642,0.728588371,0.24641089,0.490915511,0.131639437,0.064748317,0.058690084,0.007595761,neutral
ABNB,2022/3/25,0.333321391,0.038347382,0.628331231,0.231644891,0.467366507,0.115268773,0.08057913,0.094515374,0.010625324,neutral
ABNB,2022/3/26,0.107731055,0.249067805,0.643201157,0.206683949,0.54126171,0.068141457,0.07592313,0.099627925,0.008361829,neutral
ABNB,2022/3/27,0.069624034,0.079925732,0.850450226,0.21918615,0.33659519,0.101964434,0.106850697,0.226809424,0.008594105,neutral
ABNB,2022/3/28,0.117340422,0.24430618,0.638353432,0.201490597,0.289982444,0.173023402,0.157897773,0.154435053,0.023170731,neutral
ABNB,2022/3/29,0.417148502,0.019647321,0.563204171,0.164946659,0.540226129,0.131226251,0.082695331,0.065193546,0.015712084,neutral
ABNB,2022/3/30,0.197032143,0.107235188,0.695732692,0.230657374,0.472442496,0.062089269,0.162651165,0.065964812,0.006194884,neutral
ABNB,2022/3/31,0.308697085,0.076947077,0.614355841,0.123892121,0.405248943,0.129040479,0.172801947,0.161901631,0.007114879,neutral
ABNB,2022/4/1,0.153670313,0.105678457,0.740651236,0.260752134,0.472635785,0.112435999,0.073477025,0.071966166,0.008732891,neutral
ABNB,2022/4/2,0.172998182,0.072535902,0.754465928,0.124515701,0.599927735,0.148959015,0.020089819,0.099753972,0.006753758,neutral
